,datetime,instrument,score,exp_name,rid,weight,real_label,error,abs_error
143,2026-05-12,SZ002311,-0.02000793255865574,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
144,2026-05-12,SZ002252,0.0321667343378067,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
145,2026-05-12,SZ002241,0.015844358131289482,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
146,2026-05-12,SZ002236,0.04523412510752678,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
147,2026-05-12,SZ002230,0.01199614442884922,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
148,2026-05-12,SZ002179,-0.10091789811849594,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
149,2026-05-12,SZ002142,-0.030197907239198685,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
150,2026-05-12,SZ002074,-0.08126045763492584,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
151,2026-05-12,SZ002050,-0.06848876923322678,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
152,2026-05-12,SZ002304,-0.046307507902383804,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
153,2026-05-12,SZ002475,-0.10055799782276154,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
154,2026-05-12,SZ002493,0.0006908199866302311,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
155,2026-05-12,SZ002594,-0.05003325641155243,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
156,2026-05-12,SZ300274,0.01919971965253353,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
157,2026-05-12,SZ300251,-0.14159907400608063,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
158,2026-05-12,SZ300124,-0.08832159638404846,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
159,2026-05-12,SZ300122,-0.09616288542747498,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
160,2026-05-12,SZ300059,-0.05731900408864021,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
161,2026-05-12,SZ300033,-0.05458330735564232,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
162,2026-05-12,SZ300015,-0.06047723814845085,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
163,2026-05-12,SZ300014,0.06995619833469391,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
